PARTID;DESCRIPCION;FAMILIA;RUBRO;SUB-RUBRO;MARCA;UNIT_PRICE;IVA;MONEDA;CODIGO DE BARRAS;STOCK_UM;CASE_QTY;DESCRIPCION BULTO
66031210;GAB 12 MED MONOF RED CAB. P/10 *EDENOR* ;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;2,591,618.81;21;ARS;6603121000009;Un;1;
66031211;GAB 12 MED MONO P 11 C/TM + DIF (EDENOR);GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;2,601,252.79;21;ARS;;Un;1;
66031222;GAB 12 MED MONOF EDENOR 22KW TM+DIF.CXT;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;3,070,585.85;21;ARS;6603122200002;Un;1;
66031232;GAB 12 MED MONO TM32+DIF40 C.10MM EDENOR;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;3,256,217.18;21;ARS;;Un;1;
66031265;GAB 12 MED MONOF RED*EDENOR IP65;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;3,126,886.25;21;ARS;6603126500009;Un;1;
66032365;GAB 2 MED TRIF C/TM + DIF IP65 (EDENOR) ;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;1,084,702.35;21;ARS;6603236500005;Un;1;
66033200;GAB. 2 TRIF. EDENOR T1 C/ TM Y DIF. CXT;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;1,023,575.14;21;ARS;;Un;1;
66033400;GAB. 4 TRIF  T1- EDENOR TM4x32A+DIF4x40A;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;1,862,561.30;21;ARS;;Un;1;
66033425;GAB.4 TRIFASICOS T2-25 KW CXT *EDENOR*;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;2,160,540.15;21;ARS;;Un;1;
66034365;GAB 4 MED TRIF C/TM + DIF IP65 (EDENOR);GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;2,039,598.32;21;ARS;6603436500003;Un;1;
66039155;GAB 1 MED TRIF C/TM + DIF (EDENOR);GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;441,261.12;21;ARS;;Un;1;
66039160;GAB 2 MED TRIF C/TM + DIF (EDENOR);GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;882,314.82;21;ARS;;Un;1;
66039162;GAB 4 MED TRIF C/TM + DIF (EDENOR);GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;1,744,120.02;21;ARS;;Un;1;
66039163;GAB.1MONO 32A+1TRIF T2 29KW  EDENOR;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;856,117.73;21;ARS;6603916300000;Un;1;
66039171;GAB 1 MONO + 1 TRIF C/TM + DIF (EDENOR);GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;753,573.49;21;ARS;;Un;1;
66039229;GAB.2 TRIF T2-29KW TM 6KA+ DIF *EDENOR*;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;1,237,794.03;21;ARS;;Un;1;
66039440;GAB 4 MED TRIF T2  C/TM + DIF (EDENOR);GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;1,933,057.56;21;ARS;;Un;1;
66040300;GAB 3 MED MONO C/TM S/DIF (EDESUR);GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;622,853.72;21;ARS;6604030000005;Un;1;
66040332;GAB 3 MED MONOF TM 2X32 S/D RED EDESUR;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;705,629.05;21;ARS;6604033200006;Un;1;
66040340;GAB 3 MED MONOF TM 2X40 S/D RED EDESUR;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;742,986.35;21;ARS;6604034000001;Un;1;
66040400;GAB 4 MED MONO C/TM S/DIF (EDESUR);GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;787,494.39;21;ARS;;Un;1;
66040403;GAB 4 MED MONOF C/P 3 RED TM EDESUR CXT;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;883,220.41;21;ARS;6604040300003;Un;1;
66040432;GAB 4 MED MONO *EDESUR* S/DF TM32A;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;971,032.89;21;ARS;;Un;1;
66040440;GAB 4 MED MONO C/TM S/DIF (EDESUR);GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;978,485.03;21;ARS;6604044000008;Un;1;
66040600;GAB 6 MED MONO C/TM S/DIF (EDESUR);GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;1,295,160.60;21;ARS;6604060000006;Un;1;
66040632;GAB 6 MED MONOF TM 2X32 S/D RED EDESUR;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;1,423,137.50;21;ARS;;Un;1;
66040640;GAB 6 MED MONOF EDESUR S/D TM 2 X 40 AMP;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;1,432,510.41;21;ARS;6604064000002;Un;1;
66040800;GAB 8 MED MONO C/TM S/DIF (EDESUR);GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;1,433,044.54;21;ARS;;Un;1;
66040806;GAB 8 MED MONO. C/P 6 CXT EDESUR;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;1,542,918.00;21;ARS;6604080600002;Un;1;
66040807;GAB 8 MED P/7 MONOF TM25A - EDESUR;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;1,381,913.85;21;ARS;6604080700009;Un;1;
66040810;GAB 8 MED MONO TM2X32 S/DIF C10MM EDESUR;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;1,602,625.54;21;ARS;6604081000009;Un;1;
66040832;GAB 8 MED MONOF RED *EDESUR* SIN DIYUNTO;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;1,532,565.05;21;ARS;6604083200001;Un;1;
66040840;GAB 8 MED MONO C/TM 2X40 S/DIF (EDESUR);GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;1,593,046.65;21;ARS;6604084000006;Un;1;
66040900;GAB 9 MED MONO C/TM S/DIF (EDESUR);GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;1,761,868.90;21;ARS;6604090000007;Un;1;
66040932;GAB 9 MED MONOF RED *EDESUR* SIN DISYUNT;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;1,930,352.02;21;ARS;6604093200008;Un;1;
66040940;GAB 9 MED MONOF RED *EDESUR* SIN DISYUNT;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;1,888,924.32;21;ARS;6604094000003;Un;1;
66040950;GAB 9 MED MONOF RED TM 2X40 *EDESUR*;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;2,012,292.30;21;ARS;6604095000002;Un;1;
66041200;GAB 12 MED MONO C/TM S/DIF (EDESUR);GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;2,178,193.04;21;ARS;;Un;1;
66041210;GAB 12 MED MONO RED CABP/10 EDESUR CXT;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;2,442,790.66;21;ARS;6604121000006;Un;1;
66041232;GAB 12 MED MONO *EDESUR* S/DF TM32A;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;2,255,331.71;21;ARS;;Un;1;
66041240;GAB 12 MED MONOF RED *EDESUR* SIN DIYUNT;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;2,590,897.78;21;ARS;;Un;1;
66041265;GAB 12 MED MONOF RED*EDESUR IP65;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;2,706,430.15;21;ARS;;Un;1;
66042125;GAB.1 MONO+1 TRIF  VAC TM25 EDESUR ;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;752,413.69;21;ARS;6604212500002;Un;1;
66042132;GAB 1 MONO + 1 TRIF T2 TM32 S/DIF EDESUR;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;906,992.50;21;ARS;6604213200000;Un;1;
66043215;GAB. 2 TRIF. EDESUR TM4X32 S/DIF. CXT;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;856,365.81;21;ARS;6604321500009;Un;1;
66043217;GAB. 2 TRIFASICOS T2 17 KW EDESUR CXT;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;1,062,958.64;21;ARS;;Un;1;
66043240;GAB 2 MED TRIF C/TM4x40A C10MM - EDESUR;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;816,303.09;21;ARS;;Un;1;
66043413;GAB. 4 TRIFASICOS T2 13 KW EDESUR CXT;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;1,871,588.04;21;ARS;6604341300009;Un;1;
66043417;GAB. 4 TRIFASICOS T2 17 KW EDESUR CXT;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;1,887,671.46;21;ARS;6604341700007;Un;1;
66043425;GAB 4 MED TRIF T2  25KW TM4x50A EDESUR;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;1,894,026.08;21;ARS;6604342500002;Un;1;
66043429;GAB.4 TRIF T2 32/40 A EDESUR TM CXT;GABINETES PARA MEDIDORES COLECTIVOS;;;CONEXTUBE;1,885,395.37;21;ARS;;Un;1;
